,reward,episodeLength,eps
63,-402.15166746267687,12,0.9979
64,-401.1019261616983,18,0.9978666666666667
65,-400.0581439669935,20,0.9978333333333333
66,-401.44839887052035,8,0.9978
67,-404.99702820491774,19,0.9977666666666667
68,-400.55547536557873,11,0.9977333333333334
69,-401.03923724496286,20,0.9977
70,-400.9481492643052,9,0.9976666666666667
71,-400.8841110865417,11,0.9976333333333334
72,-406.0687840127867,29,0.9976
73,-400.8243716553712,6,0.9975666666666667
74,-403.7190056832398,17,0.9975333333333334
75,-401.67751317080234,11,0.9975
76,-403.5473272209131,23,0.9974666666666666
77,-401.786479144055,15,0.9974333333333333
78,-403.4974703488331,20,0.9974
79,-401.60423936578417,29,0.9973666666666666
80,-401.7396719540218,10,0.9973333333333333
81,-399.6395107952389,24,0.9973
82,-401.23544578498746,9,0.9972666666666666
83,-401.0137533877794,7,0.9972333333333333
84,-404.3981246256196,13,0.9972
85,-404.70143546154895,26,0.9971666666666666
86,-401.308981369506,12,0.9971333333333333
87,-401.5071494513313,28,0.9971
88,-404.1601714719545,17,0.9970666666666667
89,-401.4433767475806,9,0.9970333333333333
90,-401.4782059593338,9,0.997
91,-402.50567941347487,11,0.9969666666666667
92,-400.798345653709,9,0.9969333333333333
93,-400.60088300578826,11,0.9969
94,-401.94709714824074,11,0.9968666666666667
95,-403.67177643978494,38,0.9968333333333333
96,-401.88946562457545,10,0.9968
97,-401.58381493751847,18,0.9967666666666667
98,-401.5539954994102,10,0.9967333333333334
99,-401.35657006999696,10,0.9967
100,-401.825398875299,14,0.9966666666666667
101,-400.96905312528816,30,0.9966333333333334
102,-401.8354327281094,14,0.9966
103,-401.5667573604506,10,0.9965666666666667
104,-402.1102906241282,15,0.9965333333333334
105,-405.69563236541967,30,0.9965
106,-404.06194043970123,24,0.9964666666666666
107,-401.6772275987557,14,0.9964333333333333
108,-403.5757831188651,25,0.9964
109,-401.8569213140335,13,0.9963666666666666
110,-400.78256235189076,40,0.9963333333333333
111,-401.83319039567345,18,0.9963
112,-401.44582015522525,14,0.9962666666666666
113,-400.63274128510295,8,0.9962333333333333
114,-400.8724708396135,6,0.9962
115,-401.9012466836984,10,0.9961666666666666
116,-401.9381461679573,9,0.9961333333333333
117,-403.6382460245225,12,0.9961
118,-402.42089975926865,20,0.9960666666666667
119,-402.16383082677675,31,0.9960333333333333
120,-404.3744961293611,21,0.996
121,-400.90777283100687,31,0.9959666666666667
122,-401.38932765325507,14,0.9959333333333333
123,-400.8243716553712,7,0.9959
124,-401.3469105199684,33,0.9958666666666667
125,-403.315047783551,14,0.9958333333333333
126,-401.5137095858432,9,0.9958
127,-402.2658087390025,29,0.9957666666666667
128,-399.8545709117332,17,0.9957333333333334
129,-402.2583212747709,17,0.9957
130,-401.77949401684316,29,0.9956666666666667
131,-405.7106474801985,23,0.9956333333333334
132,-401.4814898684227,10,0.9956
133,-387.7070498716341,58,0.9955666666666667
134,-400.3101776436839,20,0.9955333333333334
135,-401.96791878176583,10,0.9955
136,-401.17614359274,7,0.9954666666666667
137,-401.1192997428097,9,0.9954333333333333
138,-401.0407310587349,13,0.9954
139,-401.235880642979,8,0.9953666666666666
140,-401.23499403356044,12,0.9953333333333333
141,-401.35296684800227,10,0.9953
142,-401.35575661106935,39,0.9952666666666666
143,-398.9184745331597,25,0.9952333333333333
144,-401.91307531875555,12,0.9952
