,reward,episodeLength,eps
77,-401.10322961888113,9,0.9974333333333333
78,-402.2604470933183,10,0.9974
79,-401.66031425548806,8,0.9973666666666666
80,-400.905895487987,6,0.9973333333333333
81,-406.3946623742703,54,0.9973
82,-402.8717420426214,18,0.9972666666666666
83,-401.7944307863354,10,0.9972333333333333
84,-403.40240576700586,27,0.9972
85,-400.3392626846983,13,0.9971666666666666
86,-401.3533088115209,8,0.9971333333333333
87,-401.9654853666427,13,0.9971
88,-401.398829391634,8,0.9970666666666667
89,-401.24351641246193,10,0.9970333333333333
90,-397.92282397799005,58,0.997
91,-402.93980277303217,16,0.9969666666666667
92,-402.1218223842797,9,0.9969333333333333
93,-401.1233310580363,22,0.9969
94,-401.8766381921449,10,0.9968666666666667
95,-401.63595157037093,29,0.9968333333333333
96,-401.0688459677507,14,0.9968
97,-400.55512474154835,15,0.9967666666666667
98,-402.2300560162759,12,0.9967333333333334
99,-401.1348515538654,10,0.9967
100,-403.1458571388643,16,0.9966666666666667
101,-401.67970007155844,11,0.9966333333333334
102,-400.23150706143974,19,0.9966
103,-401.0114834731539,8,0.9965666666666667
104,-402.1142743252608,16,0.9965333333333334
105,-397.57270240708954,60,0.9965
106,-401.9612198085861,13,0.9964666666666666
107,-403.09150596059794,16,0.9964333333333333
108,-401.39560251438485,29,0.9964
109,-398.4740303455623,59,0.9963666666666666
110,-401.51961751633405,8,0.9963333333333333
111,-404.183507794289,21,0.9963
112,-402.0348413045604,31,0.9962666666666666
113,-400.92000719003994,7,0.9962333333333333
114,-403.3645432125502,30,0.9962
115,-401.63690391215476,8,0.9961666666666666
116,-401.8159148807931,10,0.9961333333333333
117,-400.81795403671777,21,0.9961
118,-401.86833840440266,10,0.9960666666666667
119,-401.4948698747119,12,0.9960333333333333
120,-406.19694545479115,27,0.996
121,-402.03413505231043,10,0.9959666666666667
122,-401.62161453738406,9,0.9959333333333333
123,-400.95282973362976,14,0.9959
124,-403.45228328649006,18,0.9958666666666667
125,-401.8183354237595,9,0.9958333333333333
126,-401.95566749556167,15,0.9958
127,-400.8373445099824,6,0.9957666666666667
128,-400.37977029897723,12,0.9957333333333334
129,-400.94365834083175,11,0.9957
130,-400.6122424121004,37,0.9956666666666667
131,-400.11101434993407,30,0.9956333333333334
132,-401.58041767527624,10,0.9956
133,-402.65542977925406,17,0.9955666666666667
134,-402.95379231429433,19,0.9955333333333334
135,-401.56898605107546,12,0.9955
136,-400.5479712739821,14,0.9954666666666667
137,-401.45582097817504,21,0.9954333333333333
138,-402.24429584704245,11,0.9954
139,-403.2259573013306,22,0.9953666666666666
140,-401.3243962561091,13,0.9953333333333333
141,-401.58330793612055,8,0.9953
142,-403.22964950271273,27,0.9952666666666666
143,-401.3877356836767,9,0.9952333333333333
144,-400.9992108480737,7,0.9952
145,-400.7934345471912,13,0.9951666666666666
146,-401.304418031515,9,0.9951333333333333
147,-403.9053723138633,21,0.9951
148,-403.18607770143933,16,0.9950666666666667
149,-401.07546383972937,12,0.9950333333333333
150,-400.80678876584875,22,0.995
151,-394.75962700275187,59,0.9949666666666667
152,-401.18478249777405,18,0.9949333333333333
153,-401.8702092587801,11,0.9949
154,-402.2907956681769,14,0.9948666666666667
155,-402.9042080852548,14,0.9948333333333333
156,-403.4743957903345,47,0.9948
157,-401.83169934406664,13,0.9947666666666667
158,-403.2931586440293,20,0.9947333333333334
159,-400.97129373120146,11,0.9947
160,-401.80329000910166,15,0.9946666666666667
161,-401.3605160153379,21,0.9946333333333334
162,-403.4664640309949,19,0.9946
163,-401.9297404007629,16,0.9945666666666667
164,-403.02678184965464,13,0.9945333333333334
165,-401.0137533877794,7,0.9945
166,-401.9094048301126,22,0.9944666666666667
167,-401.3122893241293,16,0.9944333333333333
168,-400.5046099643917,13,0.9944
169,-401.99387718002555,15,0.9943666666666666
170,-401.5576799941858,9,0.9943333333333333
171,-408.9118044604051,38,0.9943
172,-401.1754691222927,8,0.9942666666666666
173,-400.64496669899387,13,0.9942333333333333
174,-400.80625991584424,15,0.9942
175,-401.1460903335263,8,0.9941666666666666
176,-401.32019792810064,14,0.9941333333333333
177,-403.11249005383235,46,0.9941
178,-401.17227589289433,11,0.9940666666666667
179,-368.79369085862675,96,0.9940333333333333
180,-402.38283029767314,10,0.994
181,-403.7295816517233,24,0.9939666666666667
182,-401.05670618418145,23,0.9939333333333333
183,-400.7930535164757,19,0.9939
184,-401.79951269720993,14,0.9938666666666667
185,-401.40292733297844,12,0.9938333333333333
186,-401.0407310587349,7,0.9938
