,timestep,x,x_dot,costheta,sintheta,theta_dot,action,reward
40,40,0.0030404056888073683,-0.15678906440734863,0.7458261847496033,-0.666140615940094,3.916759967803955,1,0.12706380321228986
41,41,-0.006426047999411821,-0.22177624702453613,0.8718539476394653,-0.4897659718990326,4.739363193511963,2,0.06396979159194027
42,42,-0.009726549498736858,0.09575221687555313,0.9611866474151611,-0.27589890360832214,4.485015392303467,1,0.019170154882149855
43,43,-0.005621708929538727,0.07338008284568787,0.998865008354187,-0.04763101786375046,4.733136177062988,2,0.0004884915309146365
44,44,0.0075310454703867435,0.4567752182483673,0.986388087272644,0.1644340604543686,3.730248212814331,0,0.006664169742338057
45,45,0.0217138584703207,0.11556772887706757,0.9339867830276489,0.3573075532913208,4.22034215927124,0,0.03182787877723843
46,46,0.01960306242108345,-0.19516251981258392,0.8358166813850403,0.5490086078643799,4.350449085235596,0,0.08113095296358876
47,47,0.002591280033811927,-0.48253995180130005,0.7005630135536194,0.7135905623435974,4.133123874664307,2,0.14970171941810426
48,48,-0.011332759633660316,-0.07948894053697586,0.5714409351348877,0.8206431865692139,2.591698408126831,1,0.21395844038563877
49,49,-0.014256046153604984,-0.039655111730098724,0.48392653465270996,0.8751085996627808,1.5267549753189087,1,0.25752863930476266
50,50,-0.015474466606974602,-0.010282662697136402,0.4403834939002991,0.8978097438812256,0.4350375235080719,0,0.2792096069106202
51,51,-0.023727307096123695,-0.3198738694190979,0.4375394582748413,0.8991991877555847,-0.30901145935058594,2,0.27982281280449933
52,52,-0.030620060861110687,0.04607207328081131,0.4836740493774414,0.8752481937408447,-1.7747313976287842,0,0.25581900436473975
53,53,-0.035818953067064285,-0.2532220780849457,0.5727388262748718,0.8197379112243652,-2.4042890071868896,2,0.21042308312323976
54,54,-0.03859527409076691,0.14700940251350403,0.6949154734611511,0.7190914154052734,-3.941499710083008,1,0.148818263746723
55,55,-0.0295215155929327,0.21667255461215973,0.8351426720619202,0.5500333905220032,-4.833832263946533,0,0.08024986424822349
56,56,-0.02619820460677147,-0.08961556106805801,0.9419541954994202,0.33574146032333374,-4.697966575622559,1,0.027307046993697542
57,57,-0.029767632484436035,-0.058298785239458084,0.9952356815338135,0.09749817848205566,-5.032725811004639,2,0.00016686845476353252
58,58,-0.023255331441760063,0.3108433485031128,0.984352707862854,-0.1762094795703888,-5.883546829223633,2,0.006471628502451414
59,59,0.0003445807669777423,0.6228041052818298,0.8860769867897034,-0.46353811025619507,-6.217118740081787,0,0.05696120920125923
60,60,0.020387254655361176,0.1821540892124176,0.72892826795578,-0.6845900416374207,-4.655887126922607,2,0.13449675700483607
61,61,0.03627665713429451,0.45266371965408325,0.5603436231613159,-0.8282602429389954,-4.173992156982422,0,0.2165381976776993
