,0
1025,-194.69183797031172
1026,635.3413906925989
1027,-42.24296693406188
1028,-198.90150954931298
1029,-200.30751964612193
1030,-176.65002766023824
1031,-200.2622070113212
1032,-200.13744343571437
1033,-200.61558253267484
1034,74.8703648641445
1035,842.1160471193707
1036,749.7243266706982
1037,-200.35901328313093
1038,-197.47455287380745
1039,392.2648549822835
1040,190.46617179070492
1041,-200.21051060736013
1042,-140.67507021910131
1043,360.06741863476805
1044,668.5260988029248
1045,-200.75700525215007
1046,-200.38622585538414
1047,848.2567120018284
1048,-82.00635835499955
1049,948.5793034349223
1050,-200.24365154563898
1051,385.4560896078568
1052,127.88452676463166
1053,-186.15150831327472
1054,-200.30811886645466
1055,-200.84906492514096
1056,-200.35835677213487
1057,-200.16407618275232
1058,-200.17057821419615
1059,-194.74515873424923
1060,-200.42875753518166
1061,476.3458423391567
1062,-200.13174487760884
1063,660.1427246626839
1064,128.4451608185508
1065,886.6147986913857
1066,718.2894560089705
1067,672.5193383756592
1068,-199.64483718805675
1069,-200.2668412363051
1070,-200.25079857178946
1071,-200.12961727656486
1072,346.20809083831193
1073,615.5802301352543
1074,-161.8025513534171
1075,100.1956430160678
1076,-195.70547280601357
1077,573.1404395815341
1078,684.8168199113176
1079,240.96392847077627
1080,-198.9220145655497
1081,-195.44501454972897
1082,180.65283467814214
1083,-200.49930123448232
1084,-200.2910563928093
1085,-200.49196705958238
1086,-200.12579686180868
1087,-200.50017958926168
1088,-200.27798744581213
1089,719.7956376566345
1090,788.5923505005962
1091,-200.49397262672923
1092,-199.02273169266638
1093,-198.97361162707224
1094,-190.58205845101304
1095,-197.5616477372113
1096,-200.10486374397087
1097,-200.36154425332612
1098,70.33799534032366
1099,765.6582316550918
1100,768.9914356876742
1101,457.1668263085993
1102,-200.09151407824146
1103,344.090031199598
1104,-198.53475191052578
1105,-200.2008275502251
1106,-200.89152562250734
1107,746.4341167840231
1108,-199.77227518710922
1109,-193.17407830305297
1110,475.38587248418594
1111,275.1298417042907
1112,-200.4562109499485
1113,-200.26618552600254
1114,126.49834143410297
1115,-200.68744551500598
1116,-200.1922699216195
1117,852.3536285317352
1118,-193.62593566892727
1119,-197.8162234800784
1120,-200.48429316803936
1121,828.7145502205312
1122,-200.21456016221137
1123,-200.47993784994043
1124,-201.35833028932487
1125,573.4816807303185
1126,704.6270091019971
1127,792.8297840049453
1128,-199.41746016207588
1129,482.32980299426134
1130,-200.32214383200346
1131,832.955829964417
1132,-192.71340501258314
1133,-200.29367751827996
1134,-200.93087065820131
1135,-165.6911997085992
1136,-198.2761236151262
1137,-200.2698336166996
1138,729.8735641376923
1139,919.4592990770919
1140,-196.8311662029307
1141,693.0052724452388
1142,-200.30114753281302
1143,-200.67519126556866
1144,93.48920364019065
1145,324.04308818716083
1146,-153.62052221906532
1147,660.7349878722522
1148,382.5288443778414
1149,195.62871107546394
1150,-175.27354453821442
1151,-200.65028257701888
1152,665.7485601719808
1153,348.9353109334786
1154,424.64543305898
1155,-199.68803903750344
1156,-200.46821853732936
1157,788.2208683042627
1158,-198.59955999328116
1159,-200.3306301591341
1160,351.29318425185113
1161,-178.86752187675447
1162,-200.00639891118354
1163,-199.72755212398124
1164,420.71126938138724
1165,509.6265022870574
1166,-198.0687467885921
1167,923.2898838859516
1168,544.0155697828719
1169,433.67747371297304
1170,368.90565899588364
1171,478.4561105874528
1172,384.94659789292024
1173,817.6637715064383
1174,466.25070693455297
1175,-200.4289003977422
1176,-200.30955723578384
1177,-194.62668339041795
1178,95.948271642879
1179,-200.2004513641055
1180,-200.86233105032093
1181,-200.36157317358274
1182,-200.14791165749065
1183,-200.32131815971107
1184,-200.32741461974584
1185,462.376884034344
1186,709.6977529434637
1187,-200.39672426342935
1188,814.6041063491316
1189,-149.66715813186846
1190,530.2482416212222
1191,-200.31636331618694
1192,-200.2151134695166
1193,506.5207993330674
1194,-186.47742531624527
1195,-198.05348967236588
1196,-200.46000701083506
1197,-200.44347130893004
1198,-200.67797175312194
1199,-108.46572107978734
1200,-200.8625226184442
1201,-200.24822061564282
1202,760.2286241266992
1203,-196.3879613573248
1204,-195.73902925492135
1205,-196.80069607487695
1206,339.6694291856062
1207,-200.34991353711115
1208,-200.04928761775042
1209,-201.1721045170243
1210,626.7434935029861
1211,-200.14383994388163
1212,382.0385947476943
1213,332.5960083794403
1214,556.9345461955224
1215,-200.54697901275088
1216,759.4629820635348
1217,-200.24014236428374
1218,-200.09404746966015
1219,-200.4785283064772
1220,-200.5026379635662
1221,436.46361388709386
1222,795.7984885621634
1223,-200.57479357713257
1224,410.38107595721647
1225,-200.36908520711137
1226,-179.30634408006168
1227,-200.6170843156414
1228,-200.10322664562358
1229,-165.7238472727128
1230,-199.93583828572307
1231,-200.88556877645522
1232,629.7484571429565
1233,-197.99760575331126
1234,134.5724952900265
1235,202.74123496349125
1236,-182.52230707658447
1237,-200.82394890191168
1238,-200.49545827667146
1239,374.48585956159457
1240,-200.3837401783444
1241,246.75107154553183
1242,809.3961800622343
1243,518.0100469138821
1244,-200.1611630079643
1245,-196.11722143440682
1246,-200.76180968849664
1247,434.47087902327354
1248,-200.7281789749249
1249,-200.24276506446125
1250,-193.63011705798647
1251,348.7403917229207
1252,212.59161035287696
1253,273.7370179176392
1254,-200.280843221909
1255,747.5025802192428
1256,492.5420245801279
1257,-200.16471884848954
1258,250.8511646337134
1259,325.63839330409104
1260,-200.41857014792527
1261,-200.42044730434964
1262,-174.18738090450333
1263,695.9614588511764
1264,800.4213194074315
1265,-197.38358403813405
1266,-200.7407727435357
1267,-200.1401007175995
1268,-200.29806111217553
1269,-200.0526016542682
1270,805.108978782215
1271,-200.6856458150749
1272,210.3503915811125
1273,-200.34031482872496
