,timestep,x,x_dot,costheta,sintheta,theta_dot,action
70,70,-0.12463202327489853,-0.3382788896560669,-0.9998718500137329,0.016008829697966576,0.12681113183498383,2
71,71,-0.11812387406826019,0.13016292452812195,-0.9989567399024963,-0.04566706717014313,1.233849287033081,1
72,72,-0.11145886778831482,0.13330011069774628,-0.9939071536064148,-0.11022049933671951,1.2952388525009155,1
73,73,-0.10442055016756058,0.14076636731624603,-0.9833752512931824,-0.18158501386642456,1.443062424659729,1
74,74,-0.09678752720355988,0.15266039967536926,-0.964602530002594,-0.2637080252170563,1.6853253841400146,1
75,75,-0.08834441006183624,0.16886235773563385,-0.9328475594520569,-0.3602713942527771,2.0338900089263916,1
76,76,-0.07891710102558136,0.18854615092277527,-0.8805835843086243,-0.47389084100723267,2.5029046535491943,1
77,77,-0.06845330446958542,0.20927585661411285,-0.7966966032981873,-0.6043794751167297,3.105654001235962,1
78,78,-0.057172998785972595,0.22560614347457886,-0.666366696357727,-0.7456241846084595,3.8496856689453125,2
79,79,-0.02412307821214199,0.6609984040260315,-0.4421578049659729,-0.8969372510910034,5.426445484161377,0
80,80,-0.014401656575500965,0.1944284439086914,-0.1579234004020691,-0.9874513745307922,5.988314151763916,2
81,81,0.011486532166600227,0.5177637934684753,0.20375488698482513,-0.9790219068527222,7.275580883026123,1
82,82,0.029665125533938408,0.3635718822479248,0.589529275894165,-0.8077470064163208,8.505683898925781,2
83,83,0.05933366343379021,0.5933707356452942,0.8852851986885071,-0.46504849195480347,9.132619857788086,0
84,84,0.058931171894073486,-0.008049847558140755,0.9979297518730164,0.06431307643651962,10.9609375,1
85,85,0.059969156980514526,0.02075973153114319,0.8224130272865295,0.5688908696174622,10.815980911254883,0
86,86,0.05015472322702408,-0.19628868997097015,0.42316094040870667,0.9060545563697815,10.57417106628418,0
87,87,0.03475971892476082,-0.307900071144104,-0.044013381004333496,0.9990309476852417,9.61917495727539,1
88,88,0.031766779720783234,-0.0598587691783905,-0.4505574405193329,0.8927474617958069,8.467241287231445,1
89,89,0.03637121245265007,0.09208861738443375,-0.7488588094711304,0.6627295613288879,7.578976154327393,1
90,90,0.04483497142791748,0.1692751795053482,-0.9295373558998108,0.36872801184654236,6.936352729797363,0
91,91,0.031763285398483276,-0.26143375039100647,-0.9949355125427246,0.10051517933607101,5.539100646972656,1
92,92,0.018804777413606644,-0.25917014479637146,-0.985480785369873,-0.16978700459003448,5.4259748458862305,2
93,93,0.02906317077577114,0.20516785979270935,-0.8742422461509705,-0.48548993468284607,6.726198673248291,0
94,94,0.014839621260762215,-0.2844710052013397,-0.6819207072257996,-0.7314261198043823,6.269749164581299,1
95,95,-0.0018382008420303464,-0.3335564434528351,-0.38738349080085754,-0.9219186902046204,7.051872253417969,2
96,96,-0.0028678912203758955,-0.020593808963894844,0.023733172565698624,-0.9997183084487915,8.430543899536133,2
97,97,0.006807667203247547,0.19351117312908173,0.48258280754089355,-0.8758503198623657,9.59731674194336,2
98,98,0.024861663579940796,0.3610799312591553,0.8549181222915649,-0.5187628865242004,10.435835838317871,2
99,99,0.055447254329919815,0.611711859703064,0.9998237490653992,-0.018774589523673058,10.532551765441895,0
100,100,0.062158361077308655,0.134222149848938,0.8438706994056702,0.5365465879440308,11.702302932739258,0
