,number,value,datetime_start,datetime_complete,duration,params_Ve,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_lr,params_net_arch,params_target_update_interval,state
39,39,0.270629346370697,2021-07-02 15:22:29.078058,2021-07-02 15:23:08.200942,0 days 00:00:39.122884000,11.100258486916996,256,10000,0.999,0,0.09472786064417685,small,100,PRUNED
40,40,-401.54315185546875,2021-07-02 15:22:38.984171,2021-07-02 15:23:16.051141,0 days 00:00:37.066970000,11.441138770741906,256,50000,0.9,0,0.08941794229464314,small,4,PRUNED
41,41,4.984874725341797,2021-07-02 15:23:08.202184,2021-07-02 15:23:46.864992,0 days 00:00:38.662808000,11.531213816765593,64,50000,0.9,0,0.006024259707721042,small,500,PRUNED
42,42,0.270629346370697,2021-07-02 15:23:16.051890,2021-07-02 15:24:02.524973,0 days 00:00:46.473083000,11.8701878145295,64,100000,0.9,0,0.051562056879056226,small,500,PRUNED
43,43,-291.30584716796875,2021-07-02 15:23:30.102438,2021-07-02 15:24:29.571137,0 days 00:00:59.468699000,11.778944453214818,256,10000,0.9,0,0.0022852656113171175,small,500,PRUNED
44,44,-18.888275146484375,2021-07-02 15:23:46.866498,2021-07-02 15:24:13.308885,0 days 00:00:26.442387000,9.193399166545984,256,10000,0.98,5000,0.050122472979712375,small,4,PRUNED
45,45,36.453636169433594,2021-07-02 15:24:02.526276,2021-07-02 15:24:31.394309,0 days 00:00:28.868033000,8.613173033415848,256,10000,0.98,5000,0.0022156058282959547,small,4,PRUNED
46,46,397.6044616699219,2021-07-02 15:24:13.310158,2021-07-02 15:26:46.354398,0 days 00:02:33.044240000,8.575955661252637,256,10000,0.9999,1000,0.00220931732133464,small,50,COMPLETE
47,47,480.8230895996094,2021-07-02 15:24:29.572763,2021-07-02 15:28:34.466281,0 days 00:04:04.893518000,8.607134051655374,256,10000,0.9999,1000,0.0006828926141138048,medium,50,COMPLETE
48,48,0.270629346370697,2021-07-02 15:24:31.395323,2021-07-02 15:25:20.718662,0 days 00:00:49.323339000,8.164464095347311,256,500000,0.95,1000,0.011530427052815321,medium,50,PRUNED
49,49,0.270629346370697,2021-07-02 15:25:20.719654,2021-07-02 15:25:29.548078,0 days 00:00:08.828424000,9.61604855620132,1024,10000,0.9999,10000,0.0319380949158385,medium,5,PRUNED
50,50,-7.446661472320557,2021-07-02 15:25:29.548559,2021-07-02 15:26:18.222616,0 days 00:00:48.674057000,5.143670537300873,256,100000,0.9999,1000,0.0006980617701875756,medium,5000,PRUNED
51,51,0.270629346370697,2021-07-02 15:26:18.223978,2021-07-02 15:26:38.152906,0 days 00:00:19.928928000,10.197911454228445,256,10000,0.95,10000,0.0003413601644612438,medium,800,PRUNED
52,52,-401.77972412109375,2021-07-02 15:26:38.155818,2021-07-02 15:26:41.453138,0 days 00:00:03.297320000,10.934744354171077,256,500000,0.995,20000,1.0114477334863855e-05,small,1000,PRUNED
53,53,0.270629346370697,2021-07-02 15:26:41.454063,2021-07-02 15:26:54.090787,0 days 00:00:12.636724000,7.958945309571939,256,500000,0.95,10000,0.00026481654090639934,medium,100,PRUNED
54,54,0.270629346370697,2021-07-02 15:26:46.356558,2021-07-02 15:27:11.706107,0 days 00:00:25.349549000,8.0235440949116,256,500000,0.95,10000,0.00017849106007395473,medium,5,PRUNED
55,55,0.270629346370697,2021-07-02 15:26:54.093613,2021-07-02 15:27:20.625922,0 days 00:00:26.532309000,7.070356866343369,256,500000,0.95,10000,0.00018723256338921694,medium,5,PRUNED
56,56,0.270629346370697,2021-07-02 15:27:11.707980,2021-07-02 15:27:39.592042,0 days 00:00:27.884062000,7.012090880557705,256,500000,0.95,10000,6.492879141158855e-05,medium,5,PRUNED
57,57,0.270629346370697,2021-07-02 15:27:20.627964,2021-07-02 15:27:48.492617,0 days 00:00:27.864653000,7.695590529507218,256,500000,0.95,10000,0.0007122665187222687,medium,5,PRUNED
58,58,0.270629346370697,2021-07-02 15:27:39.593889,2021-07-02 15:27:54.966737,0 days 00:00:15.372848000,7.757041142955008,256,100000,0.95,10000,0.00445318869752918,medium,5,PRUNED
59,59,396.8134460449219,2021-07-02 15:27:48.494487,2021-07-02 15:30:58.188025,0 days 00:03:09.693538000,8.799460763820324,512,100000,0.9999,1000,0.00517344486658609,medium,4,COMPLETE
60,60,52.62273406982422,2021-07-02 15:27:54.968582,2021-07-02 15:28:49.618418,0 days 00:00:54.649836000,5.6682215567563095,512,50000,0.9999,1000,0.0015146867885861015,medium,10,PRUNED
61,61,396.92657470703125,2021-07-02 15:28:34.467817,2021-07-02 15:31:44.604044,0 days 00:03:10.136227000,8.804093354530716,512,10000,0.9999,1000,0.0014536977894736684,medium,50,COMPLETE
62,62,95.51054382324219,2021-07-02 15:28:49.619454,2021-07-02 15:29:52.104058,0 days 00:01:02.484604000,8.918231495547797,1024,10000,0.9999,1000,0.000394807792070771,medium,4,PRUNED
63,63,77.51228332519531,2021-07-02 15:29:52.105352,2021-07-02 15:30:30.258486,0 days 00:00:38.153134000,8.339770567443502,256,10000,0.9999,1000,0.0008740885881914534,medium,50,PRUNED
64,64,389.74920654296875,2021-07-02 15:30:30.260994,2021-07-02 15:32:52.760380,0 days 00:02:22.499386000,8.770283608802925,256,10000,0.99,1000,0.00010900416114769267,medium,16,COMPLETE
65,65,469.17486572265625,2021-07-02 15:30:58.189447,2021-07-02 15:33:44.367126,0 days 00:02:46.177679000,9.257479612450771,256,10000,0.99,1000,0.0005644821429937797,medium,50,COMPLETE
66,66,157.1964874267578,2021-07-02 15:31:44.606521,2021-07-02 15:32:23.945776,0 days 00:00:39.339255000,9.307364114875282,256,10000,0.99,1000,0.0005462077365931657,medium,16,PRUNED
67,67,409.1911926269531,2021-07-02 15:32:23.946658,2021-07-02 15:35:07.748981,0 days 00:02:43.802323000,10.11257137735916,256,10000,0.9,1000,0.00010986998352601355,medium,10,COMPLETE
68,68,0.270629346370697,2021-07-02 15:32:52.761774,2021-07-02 15:32:59.954351,0 days 00:00:07.192577000,10.072832060023973,256,10000,0.9,10000,0.0011337594002920463,medium,10,PRUNED
69,69,0.270629346370697,2021-07-02 15:32:59.955025,2021-07-02 15:33:08.663064,0 days 00:00:08.708039000,7.573338160900164,128,10000,0.95,20000,0.00024716270933357207,medium,4,PRUNED
70,70,-250.5869903564453,2021-07-02 15:33:08.664864,2021-07-02 15:34:45.372064,0 days 00:01:36.707200000,9.520820621221144,256,10000,0.98,1000,0.0006769059681968304,medium,5,PRUNED
71,71,284.63922119140625,2021-07-02 15:33:44.368643,2021-07-02 15:35:34.450006,0 days 00:01:50.081363000,9.561222689523536,256,10000,0.99,1000,0.014088521556325355,medium,50,PRUNED
72,72,2.511756420135498,2021-07-02 15:34:45.373058,2021-07-02 15:35:24.810479,0 days 00:00:39.437421000,9.801653552394471,256,10000,0.99,1000,0.01300623701591492,medium,50,PRUNED
73,73,0.20804712176322937,2021-07-02 15:35:07.750199,2021-07-02 15:35:48.082212,0 days 00:00:40.332013000,9.079657569222489,256,10000,0.99,1000,0.0004965694786541462,medium,50,PRUNED
74,74,496.36614990234375,2021-07-02 15:35:24.811193,2021-07-02 15:38:04.278179,0 days 00:02:39.466986000,9.141615901714019,256,10000,0.99,1000,0.00038080471410903156,medium,50,COMPLETE
75,75,155.54617309570312,2021-07-02 15:35:34.451021,2021-07-02 15:36:22.706087,0 days 00:00:48.255066000,8.450141019471324,256,10000,0.99,0,0.00045095503504057136,medium,50,PRUNED
76,76,380.61090087890625,2021-07-02 15:35:48.083431,2021-07-02 15:38:20.840034,0 days 00:02:32.756603000,10.705901039742146,256,100000,0.99,0,0.0003651445015286697,medium,4,PRUNED
77,77,71.1096420288086,2021-07-02 15:36:22.706795,2021-07-02 15:36:44.054115,0 days 00:00:21.347320000,6.6621237427411435,64,100000,0.995,5000,0.0003136166966688771,medium,4,PRUNED
78,78,-81.15558624267578,2021-07-02 15:36:44.056196,2021-07-02 15:37:35.548020,0 days 00:00:51.491824000,6.202983492408828,256,10000,0.999,1000,0.003020576350690159,medium,5000,PRUNED
79,79,371.3835144042969,2021-07-02 15:37:35.549855,2021-07-02 15:40:33.382513,0 days 00:02:57.832658000,10.767984400015694,256,10000,0.95,0,0.0008018531223056044,medium,4,COMPLETE
80,80,117.48831939697266,2021-07-02 15:38:04.279853,2021-07-02 15:39:04.134201,0 days 00:00:59.854348000,10.656743038131427,256,10000,0.99,1000,0.02857832586499253,medium,50,PRUNED
81,81,-165.8372039794922,2021-07-02 15:38:20.841143,2021-07-02 15:39:01.808633,0 days 00:00:40.967490000,10.321180644320746,512,10000,0.99,1000,0.00015180502395870717,small,50,PRUNED
82,82,-0.1039925217628479,2021-07-02 15:39:01.812495,2021-07-02 15:39:50.997261,0 days 00:00:49.184766000,8.98568904049414,256,10000,0.99,1000,0.02580067385779134,medium,50,PRUNED
83,83,405.1377868652344,2021-07-02 15:39:04.135086,2021-07-02 15:41:44.350586,0 days 00:02:40.215500000,9.046619901063591,256,10000,0.95,1000,0.000815369566078629,medium,800,COMPLETE
84,84,129.45065307617188,2021-07-02 15:39:50.999273,2021-07-02 15:40:30.975625,0 days 00:00:39.976352000,9.302948595985766,256,10000,0.95,1000,0.00022652950691598773,medium,800,PRUNED
85,85,66.3143310546875,2021-07-02 15:40:30.976768,2021-07-02 15:41:08.952524,0 days 00:00:37.975756000,9.193883163501814,256,10000,0.9999,1000,0.0008029353320662862,medium,1000,PRUNED
