,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_starts,params_lr,params_net_arch,params_target_update_interval,state
55,55,1346.89404296875,2021-06-16 15:27:52.830115,2021-06-16 15:31:29.091239,0 days 00:03:36.261124000,256,50000,0.1569369942037587,0.3669550942857969,0.9,1000,0.00021518508213122463,small,200,PRUNED
56,56,1407.2823486328125,2021-06-16 15:28:08.411191,2021-06-16 15:33:53.575407,0 days 00:05:45.164216000,256,50000,0.14981375049624931,0.3176711528810176,0.9,1000,0.000226907536402826,small,200,COMPLETE
57,57,1386.721435546875,2021-06-16 15:30:36.958188,2021-06-16 15:34:33.967818,0 days 00:03:57.009630000,256,50000,0.1556236848510316,0.319369826192303,0.9,1000,0.0008551549607272856,small,200,PRUNED
58,58,-6.983597278594971,2021-06-16 15:31:29.092437,2021-06-16 15:31:35.442229,0 days 00:00:06.349792000,256,50000,0.12245403153530914,0.31929962978822507,0.98,20000,0.0007353292504554274,small,200,PRUNED
59,59,1119.3306884765625,2021-06-16 15:31:35.443173,2021-06-16 15:34:59.131659,0 days 00:03:23.688486000,128,50000,0.0060720800373429695,0.23562634905681684,0.999,1000,0.00038858533243710204,small,200,PRUNED
60,60,-6.983597278594971,2021-06-16 15:33:53.577025,2021-06-16 15:33:59.540811,0 days 00:00:05.963786000,128,100000,0.0021987434002827266,0.24303111988371254,0.999,20000,0.00010199389253943349,small,10000,PRUNED
61,61,1397.1820068359375,2021-06-16 15:33:59.541619,2021-06-16 15:39:04.120336,0 days 00:05:04.578717000,1024,50000,0.09826772781075828,0.4205231959629373,0.99,1000,0.0007240157049067401,small,200,PRUNED
62,62,1433.642822265625,2021-06-16 15:34:33.968882,2021-06-16 15:42:02.670965,0 days 00:07:28.702083000,1024,50000,0.12070052381440899,0.42134191141973726,0.99,5000,0.00037147543151252457,small,1000,COMPLETE
63,63,-8.268566131591797,2021-06-16 15:34:59.132530,2021-06-16 15:36:50.007046,0 days 00:01:50.874516000,128,10000,0.051375083028198855,0.22623396748755453,0.95,5000,0.001423002559653357,medium,1,PRUNED
64,64,-288.80841064453125,2021-06-16 15:36:50.008217,2021-06-16 15:38:42.316132,0 days 00:01:52.307915000,128,10000,0.06494774815520507,0.18286468551465682,0.95,5000,0.0012563973589269964,medium,1,PRUNED
65,65,1397.1826171875,2021-06-16 15:38:42.317157,2021-06-16 15:43:32.292468,0 days 00:04:49.975311000,128,10000,0.08139036059938441,0.29021029758101846,0.95,5000,0.0022747171429211466,medium,1,PRUNED
66,66,1425.1566162109375,2021-06-16 15:39:04.121360,2021-06-16 15:46:22.774034,0 days 00:07:18.652674000,128,10000,0.06273488055939075,0.3461088619602523,0.95,5000,0.002018847842361721,medium,1,COMPLETE
67,67,877.6426391601562,2021-06-16 15:42:02.672696,2021-06-16 15:46:20.561019,0 days 00:04:17.888323000,1024,50000,0.1281707283163602,0.40076999408610714,0.99,5000,6.991093580312427e-05,small,1000,PRUNED
68,68,1434.872802734375,2021-06-16 15:43:32.293673,2021-06-16 15:49:34.809976,0 days 00:06:02.516303000,1024,50000,0.11730276397985596,0.39741023882077803,0.99,5000,0.00036288074310629947,small,1000,COMPLETE
69,69,756.8245849609375,2021-06-16 15:46:20.561938,2021-06-16 15:47:47.424541,0 days 00:01:26.862603000,1024,50000,0.1140937643619475,0.4194424544359411,0.99,5000,0.0001251554849145822,small,1000,PRUNED
70,70,623.935791015625,2021-06-16 15:46:22.775292,2021-06-16 15:49:15.895366,0 days 00:02:53.120074000,1024,10000,0.11972136837252474,0.42325880756215484,0.99,5000,0.0018231046233044476,medium,1000,PRUNED
71,71,730.5609741210938,2021-06-16 15:47:47.425559,2021-06-16 15:50:43.333076,0 days 00:02:55.907517000,1024,10000,0.04021667663056989,0.3428257880346237,0.99,5000,0.0037917959669893464,medium,1000,PRUNED
72,72,512.8583374023438,2021-06-16 15:49:15.896366,2021-06-16 15:52:09.046299,0 days 00:02:53.149933000,1024,10000,0.020550239919915864,0.34298384461646103,0.99,5000,0.0034727728733610743,medium,1500,PRUNED
73,73,692.5945434570312,2021-06-16 15:49:34.811307,2021-06-16 15:51:00.248483,0 days 00:01:25.437176000,1024,10000,0.0942536607783706,0.3484602935352974,0.99,5000,0.0003830249963407148,small,1000,PRUNED
74,74,1431.0404052734375,2021-06-16 15:50:43.333958,2021-06-16 15:56:31.186445,0 days 00:05:47.852487000,1024,50000,0.10214206672726964,0.3812935276859717,0.99,5000,0.0006125397207831797,small,1000,COMPLETE
75,75,1340.43701171875,2021-06-16 15:51:00.249329,2021-06-16 15:54:30.593056,0 days 00:03:30.343727000,1024,50000,0.10287470451065103,0.4593540930199971,0.99,5000,0.0005936158885686961,small,1500,PRUNED
76,76,1430.30419921875,2021-06-16 15:52:09.047345,2021-06-16 15:57:58.865205,0 days 00:05:49.817860000,1024,50000,0.11164983137901714,0.394156094739864,0.99,5000,0.0006412475069143282,small,1000,COMPLETE
77,77,710.1610107421875,2021-06-16 15:54:30.593910,2021-06-16 15:56:07.585507,0 days 00:01:36.991597000,1024,50000,0.08616879144666412,0.38665734803164603,0.95,5000,0.0006641268821047114,small,1000,PRUNED
78,78,-2.770232677459717,2021-06-16 15:56:07.586531,2021-06-16 15:57:42.942154,0 days 00:01:35.355623000,1024,50000,0.11135292250088591,0.3898987253429873,0.99,5000,0.001136604819460631,small,1000,PRUNED
79,79,778.01708984375,2021-06-16 15:56:31.188081,2021-06-16 15:58:03.509885,0 days 00:01:32.321804000,1024,50000,0.11148402507762792,0.3919656203301544,0.99,5000,0.001142132627134811,small,1000,PRUNED
80,80,672.70556640625,2021-06-16 15:57:42.943064,2021-06-16 16:00:32.144195,0 days 00:02:49.201131000,1024,500000,0.07636426094672702,0.4850831334466427,0.99,5000,0.002134855546328361,medium,1000,PRUNED
81,81,1434.08984375,2021-06-16 15:57:58.866464,2021-06-16 16:03:34.020206,0 days 00:05:35.153742000,1024,50000,0.10235747286448718,0.4343706876073834,0.99,5000,0.00043108033835926696,small,1000,COMPLETE
82,82,696.3123168945312,2021-06-16 15:58:03.510803,2021-06-16 15:59:28.247812,0 days 00:01:24.737009000,1024,50000,0.10143899800872005,0.4958050558875601,0.99,5000,0.0004159539905619064,small,1000,PRUNED
83,83,750.0185546875,2021-06-16 15:59:28.248879,2021-06-16 16:03:07.089354,0 days 00:03:38.840475000,1024,50000,0.07810456170402647,0.42873821322324795,0.99,5000,0.002288233289280355,small,1000,PRUNED
84,84,774.4053344726562,2021-06-16 16:00:32.145216,2021-06-16 16:02:02.894939,0 days 00:01:30.749723000,1024,50000,0.09593130752901077,0.434777061187548,0.99,5000,0.0008537259967800031,small,1000,PRUNED
85,85,760.6384887695312,2021-06-16 16:02:02.896074,2021-06-16 16:03:36.370832,0 days 00:01:33.474758000,1024,100000,0.12524128863845627,0.3782297263912769,0.99,5000,0.0014381701621005124,small,1000,PRUNED
86,86,688.80029296875,2021-06-16 16:03:07.090103,2021-06-16 16:04:42.821284,0 days 00:01:35.731181000,1024,100000,0.06412578683223674,0.4102088769222937,0.99,5000,0.0015978561753997671,small,1000,PRUNED
87,87,665.8463745117188,2021-06-16 16:03:34.021626,2021-06-16 16:05:10.667140,0 days 00:01:36.645514000,1024,50000,0.12493101572833654,0.45586635020602106,0.99,5000,0.0001821492552474682,small,1000,PRUNED
